"DATE","TIME PERIOD","Yield curve spot rate, 3-month maturity - Government bond, nominal, all issuers whose rating is triple A - Euro area (changing composition) (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M)"
"2009-05-11","11 May 2009","0.718464"
"2009-05-12","12 May 2009","0.731275"
"2009-05-13","13 May 2009","0.672691"
"2009-05-14","14 May 2009","0.675716"
"2009-05-15","15 May 2009","0.678533"
"2009-05-18","18 May 2009","0.664456"
"2009-05-19","19 May 2009","0.736450"
"2009-05-20","20 May 2009","0.792536"
"2009-05-21","21 May 2009","0.800407"
"2009-05-22","22 May 2009","0.796064"
"2009-05-25","25 May 2009","0.831029"
"2009-05-26","26 May 2009","0.820148"
"2009-05-27","27 May 2009","0.823697"
"2009-05-28","28 May 2009","0.806778"
"2009-05-29","29 May 2009","0.785178"
"2009-06-01","01 Jun 2009","0.795131"
"2009-06-02","02 Jun 2009","0.796692"
"2009-06-03","03 Jun 2009","0.806337"
"2009-06-04","04 Jun 2009","0.852714"
"2009-06-05","05 Jun 2009","0.873071"
"2009-06-08","08 Jun 2009","0.890839"
"2009-06-09","09 Jun 2009","0.888942"
"2009-06-10","10 Jun 2009","0.856941"
"2009-06-11","11 Jun 2009","0.808198"
"2009-06-12","12 Jun 2009","0.789054"
"2009-06-15","15 Jun 2009","0.830740"
"2009-06-16","16 Jun 2009","0.819730"
"2009-06-17","17 Jun 2009","0.791720"
"2009-06-18","18 Jun 2009","0.740693"
"2009-06-19","19 Jun 2009","0.768309"
"2009-06-22","22 Jun 2009","0.745912"
"2009-06-23","23 Jun 2009","0.748903"
"2009-06-24","24 Jun 2009","0.650363"
"2009-06-25","25 Jun 2009","0.596367"
"2009-06-26","26 Jun 2009","0.613170"
"2009-06-29","29 Jun 2009","0.662570"
"2009-06-30","30 Jun 2009","0.615116"
"2009-07-01","01 Jul 2009","0.642389"
"2009-07-02","02 Jul 2009","0.573879"
"2009-07-03","03 Jul 2009","0.570788"
"2009-07-06","06 Jul 2009","0.565994"
"2009-07-07","07 Jul 2009","0.552005"
"2009-07-08","08 Jul 2009","0.509052"
"2009-07-09","09 Jul 2009","0.497678"
"2009-07-10","10 Jul 2009","0.480747"
"2009-07-13","13 Jul 2009","0.488362"
"2009-07-14","14 Jul 2009","0.495101"
"2009-07-15","15 Jul 2009","0.477400"
"2009-07-16","16 Jul 2009","0.443288"
"2009-07-17","17 Jul 2009","0.427099"
"2009-07-20","20 Jul 2009","0.452403"
"2009-07-21","21 Jul 2009","0.447707"
"2009-07-22","22 Jul 2009","0.444032"
"2009-07-23","23 Jul 2009","0.443312"
"2009-07-24","24 Jul 2009","0.462088"
"2009-07-27","27 Jul 2009","0.471989"
"2009-07-28","28 Jul 2009","0.493141"
"2009-07-29","29 Jul 2009","0.481212"
"2009-07-30","30 Jul 2009","0.476190"
"2009-07-31","31 Jul 2009","0.485402"
"2009-08-03","03 Aug 2009","0.480692"
"2009-08-04","04 Aug 2009","0.503117"
"2009-08-05","05 Aug 2009","0.503586"
"2009-08-06","06 Aug 2009","0.505654"
"2009-08-07","07 Aug 2009","0.505256"
"2009-08-10","10 Aug 2009","0.504155"
"2009-08-11","11 Aug 2009","0.453871"
"2009-08-12","12 Aug 2009","0.450182"
"2009-08-13","13 Aug 2009","0.425894"
"2009-08-14","14 Aug 2009","0.408442"
"2009-08-17","17 Aug 2009","0.410403"
"2009-08-18","18 Aug 2009","0.410659"
"2009-08-19","19 Aug 2009","0.410582"
"2009-08-20","20 Aug 2009","0.427617"
"2009-08-21","21 Aug 2009","0.471506"
"2009-08-24","24 Aug 2009","0.454224"
"2009-08-25","25 Aug 2009","0.433117"
"2009-08-26","26 Aug 2009","0.446810"
"2009-08-27","27 Aug 2009","0.431752"
"2009-08-28","28 Aug 2009","0.421216"
"2009-08-31","31 Aug 2009","0.435963"
"2009-09-01","01 Sep 2009","0.414783"
"2009-09-02","02 Sep 2009","0.407588"
"2009-09-03","03 Sep 2009","0.388393"
"2009-09-04","04 Sep 2009","0.391146"
"2009-09-07","07 Sep 2009","0.376145"
"2009-09-08","08 Sep 2009","0.379361"
"2009-09-09","09 Sep 2009","0.389283"
"2009-09-10","10 Sep 2009","0.381918"
"2009-09-11","11 Sep 2009","0.389683"
"2009-09-14","14 Sep 2009","0.397068"
"2009-09-15","15 Sep 2009","0.398132"
"2009-09-16","16 Sep 2009","0.414390"
"2009-09-17","17 Sep 2009","0.443380"
"2009-09-18","18 Sep 2009","0.450114"
"2009-09-21","21 Sep 2009","0.427496"
"2009-09-22","22 Sep 2009","0.403529"
"2009-09-23","23 Sep 2009","0.419330"
"2009-09-24","24 Sep 2009","0.407751"
"2009-09-25","25 Sep 2009","0.402875"
"2009-09-28","28 Sep 2009","0.397514"
"2009-09-29","29 Sep 2009","0.397103"
"2009-09-30","30 Sep 2009","0.407277"
"2009-10-01","01 Oct 2009","0.419185"
"2009-10-02","02 Oct 2009","0.426873"
"2009-10-05","05 Oct 2009","0.429982"
"2009-10-06","06 Oct 2009","0.435534"
"2009-10-07","07 Oct 2009","0.447203"
"2009-10-08","08 Oct 2009","0.435442"
"2009-10-09","09 Oct 2009","0.483750"
"2009-10-12","12 Oct 2009","0.477627"
"2009-10-13","13 Oct 2009","0.454952"
"2009-10-14","14 Oct 2009","0.472935"
"2009-10-15","15 Oct 2009","0.481397"
"2009-10-16","16 Oct 2009","0.490612"
"2009-10-19","19 Oct 2009","0.474134"
"2009-10-20","20 Oct 2009","0.468177"
"2009-10-21","21 Oct 2009","0.469142"
"2009-10-22","22 Oct 2009","0.466976"
"2009-10-23","23 Oct 2009","0.472056"
"2009-10-26","26 Oct 2009","0.467348"
"2009-10-27","27 Oct 2009","0.468866"
"2009-10-28","28 Oct 2009","0.465571"
"2009-10-29","29 Oct 2009","0.493305"
"2009-10-30","30 Oct 2009","0.498852"
"2009-11-02","02 Nov 2009","0.483063"
"2009-11-03","03 Nov 2009","0.469788"
"2009-11-04","04 Nov 2009","0.481372"
"2009-11-05","05 Nov 2009","0.469947"
"2009-11-06","06 Nov 2009","0.462680"
"2009-11-09","09 Nov 2009","0.459070"
"2009-11-10","10 Nov 2009","0.452689"
"2009-11-11","11 Nov 2009","0.459488"
"2009-11-12","12 Nov 2009","0.463112"
"2009-11-13","13 Nov 2009","0.453158"
"2009-11-16","16 Nov 2009","0.472524"
"2009-11-17","17 Nov 2009","0.463924"
"2009-11-18","18 Nov 2009","0.469443"
"2009-11-19","19 Nov 2009","0.467959"
"2009-11-20","20 Nov 2009","0.474823"
"2009-11-23","23 Nov 2009","0.476774"
"2009-11-24","24 Nov 2009","0.459184"
"2009-11-25","25 Nov 2009","0.470596"
"2009-11-26","26 Nov 2009","0.442216"
"2009-11-27","27 Nov 2009","0.428622"
"2009-11-30","30 Nov 2009","0.443539"
"2009-12-01","01 Dec 2009","0.430889"
"2009-12-02","02 Dec 2009","0.426071"
"2009-12-03","03 Dec 2009","0.402427"
"2009-12-04","04 Dec 2009","0.390550"
"2009-12-07","07 Dec 2009","0.390537"
"2009-12-08","08 Dec 2009","0.367641"
"2009-12-09","09 Dec 2009","0.383973"
"2009-12-10","10 Dec 2009","0.387822"
"2009-12-11","11 Dec 2009","0.379640"
"2009-12-14","14 Dec 2009","0.372993"
"2009-12-15","15 Dec 2009","0.391841"
"2009-12-16","16 Dec 2009","0.384535"
"2009-12-17","17 Dec 2009","0.371169"
"2009-12-18","18 Dec 2009","0.373162"
"2009-12-21","21 Dec 2009","0.360087"
"2009-12-22","22 Dec 2009","0.360622"
"2009-12-23","23 Dec 2009","0.356667"
"2009-12-24","24 Dec 2009","0.376871"
"2009-12-28","28 Dec 2009","0.368109"
"2009-12-29","29 Dec 2009","0.353346"
"2009-12-30","30 Dec 2009","0.369407"
"2009-12-31","31 Dec 2009","0.382294"
"2010-01-04","04 Jan 2010","0.376388"
"2010-01-05","05 Jan 2010","0.359684"
"2010-01-06","06 Jan 2010","0.344202"
"2010-01-07","07 Jan 2010","0.334324"
"2010-01-08","08 Jan 2010","0.320699"
"2010-01-11","11 Jan 2010","0.317127"
"2010-01-12","12 Jan 2010","0.310009"
"2010-01-13","13 Jan 2010","0.307070"
"2010-01-14","14 Jan 2010","0.322479"
"2010-01-15","15 Jan 2010","0.299872"
"2010-01-18","18 Jan 2010","0.314809"
"2010-01-19","19 Jan 2010","0.302345"
"2010-01-20","20 Jan 2010","0.288213"
"2010-01-21","21 Jan 2010","0.298405"
"2010-01-22","22 Jan 2010","0.263812"
"2010-01-25","25 Jan 2010","0.288822"
"2010-01-26","26 Jan 2010","0.275558"
"2010-01-27","27 Jan 2010","0.281648"
"2010-01-28","28 Jan 2010","0.276292"
"2010-01-29","29 Jan 2010","0.280577"
"2010-02-01","01 Feb 2010","0.293388"
"2010-02-02","02 Feb 2010","0.302665"
"2010-02-03","03 Feb 2010","0.328244"
"2010-02-04","04 Feb 2010","0.359950"
"2010-02-05","05 Feb 2010","0.337918"
"2010-02-08","08 Feb 2010","0.324912"
"2010-02-09","09 Feb 2010","0.325522"
"2010-02-10","10 Feb 2010","0.327244"
"2010-02-11","11 Feb 2010","0.331027"
"2010-02-12","12 Feb 2010","0.321447"
"2010-02-15","15 Feb 2010","0.337743"
"2010-02-16","16 Feb 2010","0.312665"
"2010-02-17","17 Feb 2010","0.327355"
"2010-02-18","18 Feb 2010","0.318034"
"2010-02-19","19 Feb 2010","0.302799"
"2010-02-22","22 Feb 2010","0.302229"
"2010-02-23","23 Feb 2010","0.307389"
"2010-02-24","24 Feb 2010","0.291731"
"2010-02-25","25 Feb 2010","0.302897"
"2010-02-26","26 Feb 2010","0.296037"
"2010-03-01","01 Mar 2010","0.299305"
"2010-03-02","02 Mar 2010","0.302095"
"2010-03-03","03 Mar 2010","0.290804"
"2010-03-04","04 Mar 2010","0.295170"
"2010-03-05","05 Mar 2010","0.283484"
"2010-03-08","08 Mar 2010","0.292611"
"2010-03-09","09 Mar 2010","0.289421"
"2010-03-10","10 Mar 2010","0.286059"
"2010-03-11","11 Mar 2010","0.291238"
"2010-03-12","12 Mar 2010","0.289838"
"2010-03-15","15 Mar 2010","0.290646"
"2010-03-16","16 Mar 2010","0.295003"
"2010-03-17","17 Mar 2010","0.311014"
"2010-03-18","18 Mar 2010","0.304170"
"2010-03-19","19 Mar 2010","0.307305"
"2010-03-22","22 Mar 2010","0.305910"
"2010-03-23","23 Mar 2010","0.306402"
"2010-03-24","24 Mar 2010","0.303092"
"2010-03-25","25 Mar 2010","0.307386"
"2010-03-26","26 Mar 2010","0.306715"
"2010-03-29","29 Mar 2010","0.305952"
"2010-03-30","30 Mar 2010","0.309508"
"2010-03-31","31 Mar 2010","0.333121"
"2010-04-01","01 Apr 2010","0.353679"
"2010-04-06","06 Apr 2010","0.344393"
"2010-04-07","07 Apr 2010","0.326680"
"2010-04-08","08 Apr 2010","0.339143"
"2010-04-09","09 Apr 2010","0.333724"
"2010-04-12","12 Apr 2010","0.333323"
"2010-04-13","13 Apr 2010","0.345322"
"2010-04-14","14 Apr 2010","0.324086"
"2010-04-15","15 Apr 2010","0.338042"
"2010-04-16","16 Apr 2010","0.340955"
"2010-04-19","19 Apr 2010","0.324993"
"2010-04-20","20 Apr 2010","0.322612"
"2010-04-21","21 Apr 2010","0.319190"
"2010-04-22","22 Apr 2010","0.293327"
"2010-04-23","23 Apr 2010","0.303319"
"2010-04-26","26 Apr 2010","0.297919"
"2010-04-27","27 Apr 2010","0.278481"
"2010-04-28","28 Apr 2010","0.247229"
"2010-04-29","29 Apr 2010","0.289049"
"2010-04-30","30 Apr 2010","0.321927"
"2010-05-03","03 May 2010","0.323195"
"2010-05-04","04 May 2010","0.292119"
"2010-05-05","05 May 2010","0.242390"
"2010-05-06","06 May 2010","0.280040"
"2010-05-07","07 May 2010","0.282006"
"2010-05-10","10 May 2010","0.265720"
"2010-05-11","11 May 2010","0.273177"
"2010-05-12","12 May 2010","0.261463"
"2010-05-13","13 May 2010","0.261976"
"2010-05-14","14 May 2010","0.266189"
"2010-05-17","17 May 2010","0.238622"
"2010-05-18","18 May 2010","0.264539"
"2010-05-19","19 May 2010","0.251302"
"2010-05-20","20 May 2010","0.284350"
"2010-05-21","21 May 2010","0.241379"
"2010-05-24","24 May 2010","0.225876"
"2010-05-25","25 May 2010","0.237463"
"2010-05-26","26 May 2010","0.262821"
"2010-05-27","27 May 2010","0.244314"
"2010-05-28","28 May 2010","0.208081"
"2010-05-31","31 May 2010","0.212655"
"2010-06-01","01 Jun 2010","0.212355"
"2010-06-02","02 Jun 2010","0.200747"
"2010-06-03","03 Jun 2010","0.194509"
"2010-06-04","04 Jun 2010","0.197270"
"2010-06-07","07 Jun 2010","0.189374"
"2010-06-08","08 Jun 2010","0.183865"
"2010-06-09","09 Jun 2010","0.197522"
"2010-06-10","10 Jun 2010","0.192010"
"2010-06-11","11 Jun 2010","0.214079"
"2010-06-14","14 Jun 2010","0.218366"
"2010-06-15","15 Jun 2010","0.213889"
"2010-06-16","16 Jun 2010","0.235087"
"2010-06-17","17 Jun 2010","0.220786"
"2010-06-18","18 Jun 2010","0.225852"
"2010-06-21","21 Jun 2010","0.252748"
"2010-06-22","22 Jun 2010","0.255273"
"2010-06-23","23 Jun 2010","0.251606"
"2010-06-24","24 Jun 2010","0.271791"
"2010-06-25","25 Jun 2010","0.278476"
"2010-06-28","28 Jun 2010","0.305167"
"2010-06-29","29 Jun 2010","0.294048"
"2010-06-30","30 Jun 2010","0.342956"
"2010-07-01","01 Jul 2010","0.393976"
"2010-07-02","02 Jul 2010","0.382230"
"2010-07-05","05 Jul 2010","0.383036"
"2010-07-06","06 Jul 2010","0.388799"
"2010-07-07","07 Jul 2010","0.403549"
"2010-07-08","08 Jul 2010","0.467594"
"2010-07-09","09 Jul 2010","0.456448"
"2010-07-12","12 Jul 2010","0.397578"
"2010-07-13","13 Jul 2010","0.393314"
"2010-07-14","14 Jul 2010","0.407454"
"2010-07-15","15 Jul 2010","0.419377"
"2010-07-16","16 Jul 2010","0.452350"
"2010-07-19","19 Jul 2010","0.499978"
"2010-07-20","20 Jul 2010","0.475413"
"2010-07-21","21 Jul 2010","0.466561"
"2010-07-22","22 Jul 2010","0.471473"
"2010-07-23","23 Jul 2010","0.504858"
"2010-07-26","26 Jul 2010","0.473976"
"2010-07-27","27 Jul 2010","0.463132"
"2010-07-28","28 Jul 2010","0.460214"
"2010-07-29","29 Jul 2010","0.446453"
"2010-07-30","30 Jul 2010","0.451327"
"2010-08-02","02 Aug 2010","0.448774"
"2010-08-03","03 Aug 2010","0.467927"
"2010-08-04","04 Aug 2010","0.475173"
"2010-08-05","05 Aug 2010","0.487431"
"2010-08-06","06 Aug 2010","0.497417"
"2010-08-09","09 Aug 2010","0.487094"
"2010-08-10","10 Aug 2010","0.474874"
"2010-08-11","11 Aug 2010","0.458705"
"2010-08-12","12 Aug 2010","0.423917"
"2010-08-13","13 Aug 2010","0.428445"
"2010-08-16","16 Aug 2010","0.427745"
"2010-08-17","17 Aug 2010","0.426837"
"2010-08-18","18 Aug 2010","0.435560"
"2010-08-19","19 Aug 2010","0.442469"
"2010-08-20","20 Aug 2010","0.401955"
"2010-08-23","23 Aug 2010","0.399957"
"2010-08-24","24 Aug 2010","0.414106"
"2010-08-25","25 Aug 2010","0.410842"
"2010-08-26","26 Aug 2010","0.405067"
"2010-08-27","27 Aug 2010","0.413050"
"2010-08-30","30 Aug 2010","0.421409"
"2010-08-31","31 Aug 2010","0.429406"
"2010-09-01","01 Sep 2010","0.411239"
"2010-09-02","02 Sep 2010","0.408020"
"2010-09-03","03 Sep 2010","0.413919"
"2010-09-06","06 Sep 2010","0.417007"
"2010-09-07","07 Sep 2010","0.427063"
"2010-09-08","08 Sep 2010","0.406518"
"2010-09-09","09 Sep 2010","0.410894"
"2010-09-10","10 Sep 2010","0.409427"
"2010-09-13","13 Sep 2010","0.405998"
"2010-09-14","14 Sep 2010","0.406187"
"2010-09-15","15 Sep 2010","0.412443"
"2010-09-16","16 Sep 2010","0.421758"
"2010-09-17","17 Sep 2010","0.432566"
"2010-09-20","20 Sep 2010","0.423206"
"2010-09-21","21 Sep 2010","0.405932"
"2010-09-22","22 Sep 2010","0.409032"
"2010-09-23","23 Sep 2010","0.412837"
"2010-09-24","24 Sep 2010","0.422272"
"2010-09-27","27 Sep 2010","0.466309"
"2010-09-28","28 Sep 2010","0.457920"
"2010-09-29","29 Sep 2010","0.460469"
"2010-09-30","30 Sep 2010","0.569333"
"2010-10-01","01 Oct 2010","0.619644"
"2010-10-04","04 Oct 2010","0.570548"
"2010-10-05","05 Oct 2010","0.576178"
"2010-10-06","06 Oct 2010","0.576547"
"2010-10-07","07 Oct 2010","0.599756"
"2010-10-08","08 Oct 2010","0.592883"
"2010-10-11","11 Oct 2010","0.602938"
"2010-10-12","12 Oct 2010","0.599045"
"2010-10-13","13 Oct 2010","0.586376"
"2010-10-14","14 Oct 2010","0.634664"
"2010-10-15","15 Oct 2010","0.637657"
"2010-10-18","18 Oct 2010","0.666600"
"2010-10-19","19 Oct 2010","0.676817"
"2010-10-20","20 Oct 2010","0.695826"
"2010-10-21","21 Oct 2010","0.697559"
"2010-10-22","22 Oct 2010","0.699307"
"2010-10-25","25 Oct 2010","0.706998"
"2010-10-26","26 Oct 2010","0.734875"
"2010-10-27","27 Oct 2010","0.726425"
"2010-10-28","28 Oct 2010","0.758070"
"2010-10-29","29 Oct 2010","0.745317"
"2010-11-01","01 Nov 2010","0.748330"
"2010-11-02","02 Nov 2010","0.754857"
"2010-11-03","03 Nov 2010","0.742178"
"2010-11-04","04 Nov 2010","0.761836"
"2010-11-05","05 Nov 2010","0.758029"
"2010-11-08","08 Nov 2010","0.770712"
"2010-11-09","09 Nov 2010","0.752346"
"2010-11-10","10 Nov 2010","0.751123"
"2010-11-11","11 Nov 2010","0.755894"
"2010-11-12","12 Nov 2010","0.717682"
"2010-11-15","15 Nov 2010","0.702899"
"2010-11-16","16 Nov 2010","0.691142"
"2010-11-17","17 Nov 2010","0.675738"
"2010-11-18","18 Nov 2010","0.661069"
"2010-11-19","19 Nov 2010","0.681571"
"2010-11-22","22 Nov 2010","0.687978"
"2010-11-23","23 Nov 2010","0.666639"
"2010-11-24","24 Nov 2010","0.635521"
"2010-11-25","25 Nov 2010","0.642438"
"2010-11-26","26 Nov 2010","0.628227"
"2010-11-29","29 Nov 2010","0.630194"
"2010-11-30","30 Nov 2010","0.629702"
"2010-12-01","01 Dec 2010","0.635108"
"2010-12-02","02 Dec 2010","0.625072"
"2010-12-03","03 Dec 2010","0.614035"
"2010-12-06","06 Dec 2010","0.616129"
"2010-12-07","07 Dec 2010","0.609240"
"2010-12-08","08 Dec 2010","0.575453"
"2010-12-09","09 Dec 2010","0.548746"
"2010-12-10","10 Dec 2010","0.574135"
"2010-12-13","13 Dec 2010","0.557272"
"2010-12-14","14 Dec 2010","0.546713"
"2010-12-15","15 Dec 2010","0.554538"
"2010-12-16","16 Dec 2010","0.543499"
"2010-12-17","17 Dec 2010","0.540573"
"2010-12-20","20 Dec 2010","0.537330"
"2010-12-21","21 Dec 2010","0.522197"
"2010-12-22","22 Dec 2010","0.446175"
"2010-12-23","23 Dec 2010","0.467718"
"2010-12-24","24 Dec 2010","0.476650"
"2010-12-27","27 Dec 2010","0.462932"
"2010-12-28","28 Dec 2010","0.484667"
"2010-12-29","29 Dec 2010","0.483489"
"2010-12-30","30 Dec 2010","0.473787"
"2010-12-31","31 Dec 2010","0.490185"
"2011-01-03","03 Jan 2011","0.486220"
"2011-01-04","04 Jan 2011","0.504079"
"2011-01-05","05 Jan 2011","0.463835"
"2011-01-06","06 Jan 2011","0.449830"
"2011-01-07","07 Jan 2011","0.440217"
"2011-01-10","10 Jan 2011","0.434645"
"2011-01-11","11 Jan 2011","0.438702"
"2011-01-12","12 Jan 2011","0.433852"
"2011-01-13","13 Jan 2011","0.449019"
"2011-01-14","14 Jan 2011","0.461826"
"2011-01-17","17 Jan 2011","0.471365"
"2011-01-18","18 Jan 2011","0.518777"
"2011-01-19","19 Jan 2011","0.489244"
"2011-01-20","20 Jan 2011","0.530108"
"2011-01-21","21 Jan 2011","0.553641"
"2011-01-24","24 Jan 2011","0.544892"
"2011-01-25","25 Jan 2011","0.625683"
"2011-01-26","26 Jan 2011","0.572869"
"2011-01-27","27 Jan 2011","0.581494"
"2011-01-28","28 Jan 2011","0.646307"
"2011-01-31","31 Jan 2011","0.652478"
"2011-02-01","01 Feb 2011","0.630316"
"2011-02-02","02 Feb 2011","0.654803"
"2011-02-03","03 Feb 2011","0.646571"
"2011-02-04","04 Feb 2011","0.635660"
"2011-02-07","07 Feb 2011","0.613188"
"2011-02-08","08 Feb 2011","0.660599"
"2011-02-09","09 Feb 2011","0.669125"
"2011-02-10","10 Feb 2011","0.659490"
"2011-02-11","11 Feb 2011","0.652266"
"2011-02-14","14 Feb 2011","0.634566"
"2011-02-15","15 Feb 2011","0.638025"
"2011-02-16","16 Feb 2011","0.634930"
"2011-02-17","17 Feb 2011","0.627302"
"2011-02-18","18 Feb 2011","0.632565"
"2011-02-21","21 Feb 2011","0.672895"
"2011-02-22","22 Feb 2011","0.705401"
"2011-02-23","23 Feb 2011","0.713360"
"2011-02-24","24 Feb 2011","0.697076"
"2011-02-25","25 Feb 2011","0.707939"
"2011-02-28","28 Feb 2011","0.693221"
"2011-03-01","01 Mar 2011","0.695348"
"2011-03-02","02 Mar 2011","0.683185"
"2011-03-03","03 Mar 2011","0.847943"
"2011-03-04","04 Mar 2011","0.827827"
"2011-03-07","07 Mar 2011","0.825292"
"2011-03-08","08 Mar 2011","0.808345"
"2011-03-09","09 Mar 2011","0.809290"
"2011-03-10","10 Mar 2011","0.801705"
"2011-03-11","11 Mar 2011","0.787645"
"2011-03-14","14 Mar 2011","0.769927"
"2011-03-15","15 Mar 2011","0.743310"
"2011-03-16","16 Mar 2011","0.739838"
"2011-03-17","17 Mar 2011","0.756175"
"2011-03-18","18 Mar 2011","0.777052"
"2011-03-21","21 Mar 2011","0.811317"
"2011-03-22","22 Mar 2011","0.816130"
"2011-03-23","23 Mar 2011","0.811603"
"2011-03-24","24 Mar 2011","0.833254"
"2011-03-25","25 Mar 2011","0.840804"
"2011-03-28","28 Mar 2011","0.869295"
"2011-03-29","29 Mar 2011","0.866026"
"2011-03-30","30 Mar 2011","0.848289"
"2011-03-31","31 Mar 2011","0.868994"
"2011-04-01","01 Apr 2011","0.867794"
"2011-04-04","04 Apr 2011","0.867399"
"2011-04-05","05 Apr 2011","0.867567"
"2011-04-06","06 Apr 2011","0.870960"
"2011-04-07","07 Apr 2011","0.900458"
"2011-04-08","08 Apr 2011","0.940760"
"2011-04-11","11 Apr 2011","0.915467"
"2011-04-12","12 Apr 2011","0.912451"
"2011-04-13","13 Apr 2011","0.924577"
"2011-04-14","14 Apr 2011","0.920560"
"2011-04-15","15 Apr 2011","0.935608"
"2011-04-18","18 Apr 2011","0.941851"
"2011-04-19","19 Apr 2011","0.960017"
"2011-04-20","20 Apr 2011","0.980777"
"2011-04-21","21 Apr 2011","0.969444"
"2011-04-26","26 Apr 2011","0.953943"
"2011-04-27","27 Apr 2011","0.989012"
"2011-04-28","28 Apr 2011","1.010021"
"2011-04-29","29 Apr 2011","1.021069"
"2011-05-02","02 May 2011","1.040494"
"2011-05-03","03 May 2011","1.043324"
"2011-05-04","04 May 2011","1.060981"
"2011-05-05","05 May 2011","1.005771"
"2011-05-06","06 May 2011","1.023345"
"2011-05-09","09 May 2011","1.023655"
"2011-05-10","10 May 2011","1.005484"
"2011-05-11","11 May 2011","1.009421"
"2011-05-12","12 May 2011","1.010803"
"2011-05-13","13 May 2011","1.042251"
"2011-05-16","16 May 2011","1.056606"
"2011-05-17","17 May 2011","1.048213"
"2011-05-18","18 May 2011","1.063352"
"2011-05-19","19 May 2011","1.080450"
"2011-05-20","20 May 2011","1.061602"
"2011-05-23","23 May 2011","1.041357"
"2011-05-24","24 May 2011","1.044506"
"2011-05-25","25 May 2011","1.022787"
"2011-05-26","26 May 2011","1.028080"
"2011-05-27","27 May 2011","1.016691"
"2011-05-30","30 May 2011","1.019568"
"2011-05-31","31 May 2011","1.026968"
"2011-06-01","01 Jun 2011","1.040837"
"2011-06-02","02 Jun 2011","1.061271"
"2011-06-03","03 Jun 2011","1.074966"
"2011-06-06","06 Jun 2011","1.090331"
"2011-06-07","07 Jun 2011","1.121417"
"2011-06-08","08 Jun 2011","1.143846"
"2011-06-09","09 Jun 2011","1.161501"
"2011-06-10","10 Jun 2011","1.163871"
"2011-06-13","13 Jun 2011","1.166197"
"2011-06-14","14 Jun 2011","1.190882"
"2011-06-15","15 Jun 2011","1.189757"
"2011-06-16","16 Jun 2011","1.210471"
"2011-06-17","17 Jun 2011","1.223263"
"2011-06-20","20 Jun 2011","1.210331"
"2011-06-21","21 Jun 2011","1.224886"
"2011-06-22","22 Jun 2011","1.221626"
"2011-06-23","23 Jun 2011","1.217199"
"2011-06-24","24 Jun 2011","1.208351"
"2011-06-27","27 Jun 2011","1.210110"
"2011-06-28","28 Jun 2011","1.231386"
"2011-06-29","29 Jun 2011","1.233944"
"2011-06-30","30 Jun 2011","1.236438"
"2011-07-01","01 Jul 2011","1.233311"
"2011-07-04","04 Jul 2011","1.241962"
"2011-07-05","05 Jul 2011","1.241837"
"2011-07-06","06 Jul 2011","1.234759"
"2011-07-07","07 Jul 2011","1.229900"
"2011-07-08","08 Jul 2011","1.258121"
"2011-07-11","11 Jul 2011","1.187530"
"2011-07-12","12 Jul 2011","1.147518"
"2011-07-13","13 Jul 2011","1.185868"
"2011-07-14","14 Jul 2011","1.170827"
"2011-07-15","15 Jul 2011","1.143980"
"2011-07-18","18 Jul 2011","1.129961"
"2011-07-19","19 Jul 2011","1.109830"
"2011-07-20","20 Jul 2011","1.098847"
"2011-07-21","21 Jul 2011","1.093455"
"2011-07-22","22 Jul 2011","1.111501"
"2011-07-25","25 Jul 2011","1.115539"
"2011-07-26","26 Jul 2011","1.073377"
"2011-07-27","27 Jul 2011","1.054125"
"2011-07-28","28 Jul 2011","1.040473"
"2011-07-29","29 Jul 2011","1.011636"
"2011-08-01","01 Aug 2011","1.015739"
"2011-08-02","02 Aug 2011","0.958955"
"2011-08-03","03 Aug 2011","0.964101"
"2011-08-04","04 Aug 2011","0.848356"
"2011-08-05","05 Aug 2011","0.752168"
"2011-08-08","08 Aug 2011","0.714766"
"2011-08-09","09 Aug 2011","0.717440"
"2011-08-10","10 Aug 2011","0.680585"
"2011-08-11","11 Aug 2011","0.673516"
"2011-08-12","12 Aug 2011","0.714909"
"2011-08-15","15 Aug 2011","0.753135"
"2011-08-16","16 Aug 2011","0.753765"
"2011-08-17","17 Aug 2011","0.753106"
"2011-08-18","18 Aug 2011","0.729086"
"2011-08-19","19 Aug 2011","0.666339"
"2011-08-22","22 Aug 2011","0.681871"
"2011-08-23","23 Aug 2011","0.676689"
"2011-08-24","24 Aug 2011","0.663016"
"2011-08-25","25 Aug 2011","0.646626"
"2011-08-26","26 Aug 2011","0.645781"
"2011-08-29","29 Aug 2011","0.635254"
"2011-08-30","30 Aug 2011","0.618153"
"2011-08-31","31 Aug 2011","0.611780"
"2011-09-01","01 Sep 2011","0.595946"
"2011-09-02","02 Sep 2011","0.575628"
"2011-09-05","05 Sep 2011","0.517169"
"2011-09-06","06 Sep 2011","0.494126"
"2011-09-07","07 Sep 2011","0.564149"
"2011-09-08","08 Sep 2011","0.533217"
"2011-09-09","09 Sep 2011","0.410286"
"2011-09-12","12 Sep 2011","0.400036"
"2011-09-13","13 Sep 2011","0.434359"
"2011-09-14","14 Sep 2011","0.443367"
"2011-09-15","15 Sep 2011","0.417588"
"2011-09-16","16 Sep 2011","0.382476"
